label,text
spam,Congratulations! You have won a free iPhone. Click the link to claim your prize.
ham,"Hey, can you send me the report by tomorrow?"
spam,Urgent: Your account has been compromised. Please click here to verify your details.
ham,Let's catch up soon. How about lunch tomorrow?
spam,"Claim your prize now! Limited offer, don't miss out!"
ham,Here’s the document I was telling you about earlier.
spam,Free money! Get cash now! Don't miss this exclusive offer.
ham,Can you confirm the meeting schedule for next week?
spam,Malware detected on your computer. Click here to clean your system now.
ham,How was your weekend? Let's meet up for coffee soon.
ham,hi how are you
spam,Congratulations! You've won a free vacation! Click to claim your prize!
ham,Meeting rescheduled to next Monday. Let me know if you can attend.
spam,Free money! Get a $1000 gift card now. Limited time only!
ham,The project update is ready for review. Check your email for details.
spam,Urgent! Your bank account has been compromised. Click here to secure your account immediately.
ham,"Hey, let's catch up for lunch tomorrow."
spam,"Claim your free iPhone now! Offer expires soon, don't miss out!"
ham,Reminder: The team meeting starts at 10 AM tomorrow.
spam,Special offer: Win a brand new car! Enter now to be in the drawing.
ham,Here's the document we discussed during the last meeting.
spam,Your computer is infected with malware. Click here to fix it now.
ham,Can you confirm the meeting time for tomorrow?
spam,Don't miss out! Earn money by completing surveys online.
ham,I will be on vacation next week. Please let me know if you need anything before I leave.
spam,Limited time offer! Get a free $500 shopping spree! Click here to claim it.
ham,Do you need help with the presentation for next week?
spam,Your credit card has been flagged for suspicious activity. Click here to resolve it.
ham,Here is the latest version of the report. Let me know if you have any feedback.
spam,Congratulations! You've won a $500 gift card! Claim it now by clicking the link.
ham,Just checking if you'll be available for the meeting tomorrow.
spam,Urgent action required! Your account will be locked unless you verify your details.
ham,Please review the attached file and share your thoughts.
spam,Your subscription has been renewed. Click here to cancel if this was not authorized.
ham,I'll follow up with you about the deadline for the task.
spam,Claim your free laptop now! Just click here to get started.
ham,Please send me the updated version of the document when you get a chance.
spam,Congratulations! You've been selected for a free gift. Click to claim yours now!
ham,We need to schedule a call to discuss the new project proposal.
spam,Limited time only! Get free access to exclusive online courses now!
ham,I have uploaded the new project details to the shared drive. Let me know if you face any issues.
spam,Your bank account has been temporarily locked. Click here to resolve the issue.
ham,Looking forward to meeting you tomorrow at 2 PM.
spam,You are a winner! Claim your $2000 prize now! Click here for more details.
ham,I'll be working from home tomorrow. Let me know if you need anything.
spam,Secure your computer now! Click here to remove the malware detected on your system.
ham,Let's schedule a time for our next brainstorming session.
spam,Don't miss out! Get your free iPad by clicking here now.
ham,The report is due by the end of this week.
spam,Limited offer! Get free money by signing up today.
ham,Can you confirm the details of the meeting tomorrow?
spam,Your package has been shipped. Click here to track it now.
ham,I'm sending over the final version of the presentation.
spam,Click here to get a free vacation to Bali! Limited spots available.
ham,Let's go over the task list for tomorrow's meeting.
spam,Congratulations! You've earned a $1000 voucher. Click to claim your prize.
ham,Let me know if you need anything for the upcoming event.
spam,Immediate action required! Your bank account is at risk. Click here to secure it.
ham,Please send over the meeting agenda before tomorrow.
